country,airport,city,normalized_airport,normalized_city
África do Sul,CPT,Cidade do Cabo,cpt,cidade do cabo
África do Sul,JNB,Joanesburgo,jnb,joanesburgo
Alemanha,TXL,Berlim,txl,berlim
Alemanha,BER,Berlin,ber,berlin
Alemanha,FRA,Frankurt,fra,frankurt
Alemanha,HAM,Hamburgo,ham,hamburgo
Alemanha,LEJ,Leipzig,lej,leipzig
Alemanha,MUC,Munique,muc,munique
Alemanha,STR,Stuttgart,str,stuttgart
Alemanha,CGN,Colônia,cgn,colonia
Alemanha,DUS,Düsseldorf,dus,dusseldorf
Alemanha,FMO,Münster,fmo,munster
Alemanha,SXF,Berlim,sxf,berlim
Alemanha,ZWS,Stuttgart,zws,stuttgart
Alemanha,QKL,Cologne-Bonn,qkl,cologne-bonn
Alemanha,MHG,Mannhein,mhg,mannhein
Alemanha,BRE,Bremen,bre,bremen
Angola,LAD,Luanda,lad,luanda
Antilhas Holandesas,SXM,St. Maarten,sxm,st. maarten
Arábia Saudita,JED,Jeddah,jed,jeddah
Argentina,BRC,Bariloche,brc,bariloche
Argentina,AEP,Buenos Aires,aep,buenos aires
Argentina,EZE,Buenos Aires,eze,buenos aires
Argentina,MDZ,Mendoza,mdz,mendoza
Argentina,ROS,Rosário,ros,rosario
Argentina,AFA,San Rafael,afa,san rafael
Argentina,CRD,Comodoro Rivadavia,crd,comodoro rivadavia
Argentina,UAQ,San Juan,uaq,san juan
Argentina,COR,Córdoba,cor,cordoba
Argentina,USH,Ushuaia,ush,ushuaia
Austrália,MEL,Melbourne,mel,melbourne
Austrália,PER,Perth,per,perth
Austrália,SYD,Sydney,syd,sydney
Austrália,CNS,Cairns,cns,cairns
Austrália,BNE,Brisbane,bne,brisbane
Áustria,GRZ,Graz,grz,graz
Áustria,SZG,Salzburg,szg,salzburg
Áustria,VIE,Vienna,vie,vienna
Bahamas,NAS,Nassau,nas,nassau
Bélgica,BRU,Bruxelas,bru,bruxelas
Belgrado,BEG,Sérvia,beg,servia
Bolívia,LPB,La Paz,lpb,la paz
Bolívia,VVI,Santa Cruz,vvi,santa cruz
Bolívia,CBB,Cochabamba,cbb,cochabamba
Brasil,AFL,Alta Floresta,afl,alta floresta
Brasil,ATM,Altamira,atm,altamira
Brasil,AJU,Aracaju,aju,aracaju
Brasil,ARU,Araçatuba,aru,aracatuba
Brasil,AUX,Araguaina,aux,araguaina
Brasil,AAX,Araxá,aax,araxa
Brasil,BGX,Bagé,bgx,bage
Brasil,BRA,Barreiras,bra,barreiras
Brasil,JTC,Bauru,jtc,bauru
Brasil,BEL,Belém,bel,belem
Brasil,CNF,Belo Horizonte,cnf,belo horizonte
Brasil,PLU,Belo Horizonte,plu,belo horizonte
Brasil,BVB,Boa Vista,bvb,boa vista
Brasil,BSB,Brasília,bsb,brasilia
Brasil,OAL,Cacoal,oal,cacoal
Brasil,CPV,Campina Grande,cpv,campina grande
Brasil,VCP,Campinas,vcp,campinas
Brasil,CPQ,Campinas,cpq,campinas
Brasil,CGR,Campo Grande,cgr,campo grande
Brasil,CAW,Campos,caw,campos
Brasil,CKS,Carajás,cks,carajas
Brasil,CAC,Cascavel,cac,cascavel
Brasil,CXJ,Caxias do Sul,cxj,caxias do sul
Brasil,XAP,Chapecó,xap,chapeco
Brasil,CDJ,Conceição do Araguaia,cdj,conceicao do araguaia
Brasil,CFO,Confresa,cfo,confresa
Brasil,CMG,Corumbá,cmg,corumba
Brasil,CCM,Criciuma,ccm,criciuma
Brasil,CZS,Cruzeiro do Sul,czs,cruzeiro do sul
Brasil,CGB,Cuiabá,cgb,cuiaba
Brasil,CWB,Curitiba,cwb,curitiba
Brasil,DOU,Dourados,dou,dourados
